time,Y,Ybar,Ybar_lo,Ybar_hi
15,3901,3893.44285002944,3784.60782556443,4011.42845516023
51,3356,3938.17056368834,3636.31479452504,4283.21643780398
87,2908,4010.51326221037,3604.79103057028,4475.80455147216
123,4007,4106.98117808445,3674.93550583581,4585.64615721988
159,4453,4227.48262284338,3835.06656121052,4618.72998052344
195,3944,4374.07638360379,4075.95083371419,4596.73640767035
231,4977,4550.28670294121,4298.60335934272,4804.50080369694
267,4956,4760.95947251047,4253.14983322302,5253.92019129326
303,NA,5012.53537672644,4110.92684126552,5863.3403115775
339,NA,5313.57642178326,3957.9001313875,6637.71329222648
