time,Y,Ybar,Ybar_lo,Ybar_hi
15,2315,2912.65284724853,2762.32407394939,3090.06658624597
51,3211,3215.93488312118,2906.50437108266,3836.5164700405
87,5955,3402.35748987001,2927.55740064815,4334.25211728229
123,4817,3417.70424195682,2939.50097386189,4245.33460158499
159,2815,3272.14074206096,2933.80568505711,3695.9601323692
195,2583,3025.0059092011,2631.49131546181,3282.53115765013
231,3130,2743.19409252311,1836.47595118982,3343.74090524767
267,2149,2475.67514286756,1124.28936030226,3417.32967973908
303,NA,2247.80361872589,631.977250264812,3486.99692335512
339,NA,2065.54581969262,329.715733087276,3552.41732336184
